No.,Page,Source PDF,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Difficulty,Has Image,Image Reference,Status,Notes
867,3,PART 3 GENERAL EDUCATION (100 Items).pdf,A col-blooded animals is one that _______ .,lacks red corpuscles,lacks white corpuscles,has a variable body temperature,has fixed body temperature,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
868,3,PART 3 GENERAL EDUCATION (100 Items).pdf,Which of the following organisms is included in the kingdom Plantae ?,Magnolidae,Fungi,Protozoa,Prokaryotes,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
869,3,PART 3 GENERAL EDUCATION (100 Items).pdf,The molecule that allows plants to capture energy from the sun is the ______ .,ATP,carbon dioxide,chlorophyll,sugar,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
870,3,PART 3 GENERAL EDUCATION (100 Items).pdf,What do you call the natural environment where a certain organism lives and thrives ?,Community,Habitat,Country,Ecosystem,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
871,3,PART 3 GENERAL EDUCATION (100 Items).pdf,Ang gintong panahon ng Panitikan ng Pilipinas ay ang panahon ng _______ .,Amerikano,Hapones,Kastila,Kontemporaryo,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
872,3,PART 3 GENERAL EDUCATION (100 Items).pdf,Ang may-akda ng tulang “Ako Ang Daigdig”.,Alejandro Abadilla,Jose Corazon de Jesus,Aurelio Tolentino,Amado Hernandez,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
873,3,PART 3 GENERAL EDUCATION (100 Items).pdf,The local basketball players were supported by Fil-American imports . this group _____ efforts.,Complicated the team,Complimented the team,Complemented the team,completed the team,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
874,3,PART 3 GENERAL EDUCATION (100 Items).pdf,Did you understand her response to the judges? Here`s the answer.,Not very,Not really,Certainly,On the other hand,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
875,3,PART 3 GENERAL EDUCATION (100 Items).pdf,"I have but one life to give and I am willing to give it to my country ,not everyone is given this chance. Justice Abad Santos answered the Japanese soldiers. This finds an equivalent in valor of :",Jose Rizal,Marcelo del Pilar,Pre.Aquino,Governor Aguinaldo,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
876,3,PART 3 GENERAL EDUCATION (100 Items).pdf,The human Body temperature is,37 F,98.4 F,104 F,445 F,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
877,3,PART 3 GENERAL EDUCATION (100 Items).pdf,"The ratio between the length and the breadth of a rectangular park is 3 : 2. If a man cycling along the boundary of the park at the speed of 12 km/hr completes one round in 8 minutes, then the area of the park (in sq. m) is:",is he,isn’t he,has he,hasn’t he,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
878,3,PART 3 GENERAL EDUCATION (100 Items).pdf,Which among the sound below is a voiceless sound?,/dz/ b ./g/,,/z/,/sh/,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
879,3,PART 3 GENERAL EDUCATION (100 Items).pdf,All of the following are examples of input devices EXCEPT,scanner,mouse,printer,keyboard,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
880,3,PART 3 GENERAL EDUCATION (100 Items).pdf,_______ is data that has been organized or presented in a meaningful way .,A process,Information,Software,Storage,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
881,3,PART 3 GENERAL EDUCATION (100 Items).pdf,_______ is the heart of the computer and this is where all the computing is done .,Keyboard,Monitor,CPU,printer,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
882,3,PART 3 GENERAL EDUCATION (100 Items).pdf,Which element in the periodic table has the symbol Ca ?,Cadmium,Calcium,Carbon,Californium,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
883,3,PART 3 GENERAL EDUCATION (100 Items).pdf,Ions are formed by _______ .,gaining or losing electrons,,sharing protons,sharing electrons,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
884,3,PART 3 GENERAL EDUCATION (100 Items).pdf,"All of the following are characteristics of metals, except _______ .",good conductor,brittleness *,malleability,ductility,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
885,4,PART 3 GENERAL EDUCATION (100 Items).pdf,"In flame test, what is the color of the flame if there is a presence of boron in a solution ?",Brick red,Yellow gold,Royal blue,Bright green,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
886,4,PART 3 GENERAL EDUCATION (100 Items).pdf,The chemical reaction that releases heat energy during the process is called _______ .,Endothermic reaction,Exothermic reaction,Synthesis reaction,Decomposition,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
887,4,PART 3 GENERAL EDUCATION (100 Items).pdf,Which of the following is an example of a chemical change?,Melting of candle,Rusting of iron,Dissolving sugar,Boiling of water,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
888,4,PART 3 GENERAL EDUCATION (100 Items).pdf,A change in state from solid to gas without passing the liquid state is called _____ .,Solidification,Evaporation,condensation,sublimation,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
889,4,PART 3 GENERAL EDUCATION (100 Items).pdf,Which warning label indicates a chemical property of the material being labeled?,Fragile,Handle with care,Shake well,Flammable,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
890,4,PART 3 GENERAL EDUCATION (100 Items).pdf,Which scientist paved the way for modern exploration by advancing the theory that planets revolve around the sun ?,Ptolemy,Aristotle,Copernicus,Harvey,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
891,4,PART 3 GENERAL EDUCATION (100 Items).pdf,The Philippines lies in the region where many volcanoes are active. This region is known as _____.,Wheel of Fire,Ring of fire,Volcanic Rim,Archipelagic Fault Line Part 3 General Education,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
892,1,Part 8 General Education (200 Items).pdf,A priest gave all his possessions to disabled children. What right may they claim?,Right to just treatment,Right to proper treatment,Right of disable to equal treatment,Right to disabled to equal protection,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Correct answer recovered from the trailing answer key.
893,1,Part 8 General Education (200 Items).pdf,"The mother remarked, “ I am used to the same tales” This is very original There is nothing new in the story There is a miscommunication This is a news",,,,,,,,Both,General Education,Cannot Determine,No,,Incomplete,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction.
894,1,Part 8 General Education (200 Items).pdf,"How do you convert the statement to a question? Which is the most appropriate for” the rebels wanted to surrender.” The rebels wanted to surrender, do they? The rebels surrender, did they? The rebels wanted to surrender, didn’t they? What did the rebels want?",,,,,,,,Both,General Education,Cannot Determine,No,,Incomplete,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction.
895,1,Part 8 General Education (200 Items).pdf,The best direction for treating bamboo shoots is ______ Expose to windy heights Dry and brush with chemicals Dry by mulchings Expose all to direct sunlight,,,,,,,,Both,General Education,Cannot Determine,No,,Incomplete,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction.
896,1,Part 8 General Education (200 Items).pdf,A field commander gave his orders. He meant drop previous order. Which message was heard? Repeat! Repeat!,,,Negative! Delete! Copy! Copy!,Over! Over!,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Correct answer recovered from the trailing answer key.
897,1,Part 8 General Education (200 Items).pdf,"Which of these capitalized words do not rhyme? That’s not easy to BEAR Let’s give a CHEER I know it CLEAR It shows, it’s SHEER truth",,,,,,,,Both,General Education,Cannot Determine,No,,Incomplete,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction.
898,1,Part 8 General Education (200 Items).pdf,What is the reaction of the shop teacher upon seeing the tools scattered?,"That’s very kind of you Leave your tools alone It’s all right, you may go Return your tools to the property clerk",,,,,,,Both,General Education,Cannot Determine,No,,Incomplete,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction.
899,1,Part 8 General Education (200 Items).pdf,Which sentence uses a preposition improperly? She came ON to attend the hearing The accident happened On his birthday The witness was barely IN time for the affair Tell her to be ON time,,,,,,,,Both,General Education,Cannot Determine,No,,Incomplete,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction.
